a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aha 0.5.1-2
alsa-card-profiles 1:0.3.61-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.8-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20221109.60310c2-2
android-tools 33.0.3-2
android-udev 20220903-2
aom 3.5.0-1
apparmor 3.1.2-1
appstream 0.15.5-1
appstream-glib 0.8.2-1
appstream-qt 0.15.5-1
archlinux-appstream-data 20221014-1
archlinux-keyring 20221123-1
argon2 20190702-4
ark 22.08.3-1
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.100.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.98-1
baloo 5.100.0-1
baloo-widgets 22.08.3-1
base 3-2
bash 5.1.016-2
bash-completion 2.11-3
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
binutils 2.39-3
bison 3.8.2-4
black-hole-solver 1.12.0-1
blas 3.11.0-1
bluedevil 1:5.26.4-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.100.0-1
boost-libs 1.80.0-3
breeze 5.26.4-1
breeze-gtk 5.26.4-1
breeze-icons 5.100.0-1
brotli 1.0.9-9
btrfs-progs 6.0.2-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.85-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cblas 3.11.0-1
cdparanoia 10.2-8
cfitsio 1:4.2.0-1
chromaprint 1.5.1-5
cifs-utils 7.0-1
ckbcomp 1.208-1
clang 14.0.6-4
cmake 3.25.1-1
compiler-rt 14.0.6-1
confuse 3.3-3
convertlit 1.8-11
coreutils 9.1-3
cpupower 6.0-2
cronie 1.6.1-1
